"","a_log","h_log","kr_log","sigma","sigma2","error","a_log.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"86","-1.22222222222222","-1.44444444444444","-0.5","0.2","0.2","NaN","-1.3888347090573","-4.15376607495165","0.554082402057132","0.425263616348367","0.28080528667875","0","2861.31437662446","-1415.03225020658","489"
"87","-2.55555555555556","-5","-0.5","0.2","0.2","NaN","-1.38925387470948","-4.15429388910684","0.55090901879642","0.425140719206472","0.280808061434081","0","2861.31428097643","-1415.03220238257","403"
"88","-1.22222222222222","-2.77777777777778","-2.375","0.2","0.2","NaN","-1.38923129143791","-4.15491701295346","0.551375809329557","0.425128925535573","0.280792525591244","0","2861.31425504409","-1415.0321894164","159"
"89","-1","-3.22222222222222","-1.125","0.2","0.2","NaN","-1.38870350395268","-4.15461964239198","0.551206063094175","0.425207759997383","0.280713461804205","0","2861.31447414912","-1415.03229896891","350"
"90","-1","-5","-1.75","0.2","0.2","NaN","-1.38990365356101","-4.15582819472689","0.551857673414822","0.42500715057118","0.280898902157573","0","2861.31475290608","-1415.03243834739","210"
"91","-2.77777777777778","-3.22222222222222","-3","0.2","0.2","NaN","-1.38859306976444","-4.15292881788605","0.555028478809336","0.425223357580343","0.280795138364936","0","2861.31445103296","-1415.03228741083","42"
"92","-1.66666666666667","-2.77777777777778","-2.375","0.2","0.2","NaN","-1.38935649699033","-4.154605323627","0.550908840963088","0.425238921511982","0.280809903728652","0","2861.31429903968","-1415.03221141419","157"
"93","-2.77777777777778","-4.11111111111111","-0.5","0.2","0.2","NaN","-1.3892352742834","-4.15475589210331","0.552257506579275","0.425099235387339","0.28077005451215","0","2861.31429111074","-1415.03220744972","422"
"94","-1.66666666666667","-5","-2.375","0.2","0.2","NaN","-1.38748651094692","-4.15221029559024","0.556308261122922","0.425021289793084","0.280620636563665","0","2861.31549196457","-1415.03280787664","107"
"95","-2.77777777777778","-1","-1.125","0.2","0.2","NaN","-1.38928816805044","-4.15511037528903","0.551340811248733","0.425140695235961","0.280840050698781","0","2861.31428490843","-1415.03220434857","392"
"96","-2.55555555555556","-3.66666666666667","-0.5","0.2","0.2","NaN","-1.38910878849322","-4.15502051096582","0.551645480052148","0.425180254746299","0.280812576367144","0","2861.31426504454","-1415.03219441662","433"
"97","-2.11111111111111","-1","-2.375","0.2","0.2","NaN","-1.38915197018448","-4.15480783183969","0.551433640865115","0.425139250171791","0.280848273230257","0","2861.31429535667","-1415.03220957269","195"
"98","-2.33333333333333","-2.77777777777778","-1.75","0.2","0.2","NaN","-1.38855018995287","-4.15463676042206","0.552696817795158","0.425231879941993","0.280848182714472","0","2861.31449440636","-1415.03230909753","254"
