"","r2_log","alpha11","alpha22","alpha12","alpha21","sigma","sigma2","error","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"89","-5","0.001","5e-04","0.005","5e-04","0.2","0.2","NaN","-2.48778459251404","0.00167605064109258","0.00195277994370768","0.00182313828877811","4.51881973244969e-05","0.271111492144404","0.239663078634696","0","68.9895926599526","-15.7799199724652","133"
"90","-5","0.001","0.001","0.001","0.005","0.2","0.2","NaN","-1.80341039266982","0.0016888393005762","0.00202335730577629","0.00200237087794325","0.000966208441714336","0.268793502039371","0.229414316078969","0","59.1864995954552","-10.8783734402164","733"
"91","-0.5","5e-04","0.001","0.005","5e-04","0.2","0.2","NaN","-1.99876185942315","0.00163691429040556","0.00191670990824043","0.00155343858952222","0.000871241844737883","0.272997455110926","0.234530714126479","0","60.6363229155642","-11.603285100271","148"
"92","-5","0.005","0.005","0.001","0.001","0.2","0.2","NaN","-4.98279186122936","0.00168592965826407","0.00195618698577219","-0.000131374078418279","-0.019640706827987","0.274653661409196","0.246463725158873","0","93.8664348250528","-28.2183410550153","873"
"93","-0.5","0.001","0.001","0.005","0.005","0.2","0.2","NaN","-1.67061511064796","0.0016576682319538","0.0020056003808352","0.00183811025520074","0.00119465427958197","0.266322819063801","0.230157837988613","0","59.927054701422","-11.2486509931999","672"
"94","-0.5","0.001","0.001","0.005","5e-04","0.2","0.2","NaN","-1.74694367604834","0.00159592578868568","0.0021195243448072","0.00210347837174794","0.00099347216122745","0.267982685655142","0.23011164670253","0","58.5037482152525","-10.5369977501151","192"
"95","-5","0.005","0.005","0.005","5e-04","0.2","0.2","NaN","-3.75008219393512","0.00164427162276801","0.00194410288971336","-0.00411602984230324","-0.00297113917766661","0.258628963135731","0.239276807034207","0","88.9616279213063","-25.765937603142","169"
"96","-0.5","0.005","5e-04","0.005","0.005","0.2","0.2","NaN","-5.0445232400439","0.00162260109255536","0.0020354228757974","-0.00653810242441477","-0.0188586590595588","0.560188371222188","0.594148032073271","0","432.709777287442","-197.64001228621","652"
"97","-1","0.001","0.005","0.001","0.001","0.2","0.2","NaN","-1.81044176060177","0.00168844042097178","0.00202235753221475","0.00198816257102024","0.000973690049647749","0.268853869521254","0.22953418351666","0","59.1791950293609","-10.8747211571693","359"
"98","-3","0.001","5e-04","0.005","0.001","0.2","0.2","NaN","-1.80613791487598","0.00162561501963281","0.00206709568361749","0.00198499498850202","0.000946676083234148","0.26911241737186","0.229030384540908","0","58.4757311530078","-10.5229892189928","398"
