"","a_log","h12","h_log","sigma","sigma2","error","a_log.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"74","-1","-5e-05","-4","0.2","0.2","NaN","-1.81692031437134","-3.25641157200397","-7.05986809036726e-05","0.436134540006131","0.279470890291185","0","2888.80449229453","-1428.77730804162","45"
"75","-2.5","-0.00035","-5","0.2","0.2","NaN","-2.04747463222625","-5.13381949581217","8.79778710306699e-07","0.431850732568971","0.279288471422114","0","2882.01455253255","-1425.38233816063","7"
"76","-2.5","-2e-04","-1","0.2","0.2","NaN","-2.40737452778169","-1.04467006523043","-0.279393081572877","0.596983870812027","0.282275945596051","0","3213.17371631198","-1590.96192005034","112"
"77","-2.5","-2e-04","-4","0.2","0.2","NaN","-2.50431645022442","-3.31370942118027","-9.33524998394188e-05","0.475954992720104","0.271238938762944","0","2958.68072820266","-1463.71542599568","37"
"78","-3","-5e-04","-2","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","76"
"79","-3","-5e-04","-5","0.2","0.2","NaN","-3.75255332202803","-4.79522286050131","-0.434474049277501","0.590824168299379","0.279633581690226","0","3198.1526255703","-1583.4513746795","1"
"80","-3","-0.00035","-5","0.2","0.2","NaN","-3.67818943162562","-4.89698411809439","-0.403121357237202","0.590861889075824","0.27963175259405","0","3198.3549318291","-1583.5525278089","6"
"81","-1.5","-5e-05","-1","0.2","0.2","NaN","-1.64061873900616","-0.929527922139774","-0.320091661369832","0.599738391658136","0.287851269648206","0","3209.18051118924","-1588.96531748897","119"
"82","-1","-0.00035","-3","0.2","0.2","NaN","-1.98299496392068","-3.24012825205137","-7.903372550628e-05","0.464178782552595","0.288272123693937","0","2896.76641791965","-1432.75827085417","60"
"83","-1","-2e-04","-5","0.2","0.2","NaN","-1.97132578177282","-4.436062534357","-1.58162729315576e-05","0.430974186847566","0.277895283843456","0","2872.97497961307","-1420.86255170089","15"
"84","-2","-5e-05","-4","0.2","0.2","NaN","-2.00000561376856","-4.27156470482749","-2.33552838444405e-05","0.430792831210404","0.280251102729832","0","2872.87238456823","-1420.81125417846","43"
"85","-1","-2e-04","-3","0.2","0.2","NaN","-1.71103774012069","-2.54220737015668","-0.000150970335336976","0.501382326550054","0.29192726746054","0","2942.35757375882","-1455.55384877376","65"
"86","-2.5","1e-04","-4","0.2","0.2","NaN","-1.93865879127024","-4.16744663664592","-2.4076154800491e-05","0.430337935366901","0.280274730514625","0","2871.85561398128","-1420.30286888499","47"
"87","-1.5","-2e-04","-3","0.2","0.2","NaN","-1.96152268332033","-3.56462660489664","-5.46982133843528e-05","0.441040725563042","0.279634880673545","0","2880.64602297033","-1424.69807337952","64"
"88","-1.5","-0.00035","-4","0.2","0.2","NaN","-1.92783633846242","-4.07279120821279","-2.73670128260922e-05","0.430174227622269","0.280111262407426","0","2872.00115820483","-1420.37564099676","34"
"89","-1","-5e-04","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","30"
"90","-1","1e-04","-4","0.2","0.2","NaN","-1.93285406920673","-3.68235345386975","-4.65696925662872e-05","0.508923593960449","0.259577188797805","0","2907.64278582137","-1438.19645480504","50"
"91","-1.5","-0.00035","-3","0.2","0.2","NaN","-1.81094201629946","-3.3459645389934","-6.2982050056954e-05","0.430062087981135","0.296224197651526","0","2889.25681337628","-1429.00346858249","59"
"92","-3","-5e-05","-1","0.2","0.2","NaN","-3.03397023732815","-0.938565703841836","-0.000831191423749395","0.582673259263644","0.283243641445836","0","3113.52884139926","-1541.13948259398","116"
"93","-2","-5e-04","-3","0.2","0.2","NaN","-1.79835967392223","-3.16259613366558","-7.7871761396772e-05","0.446779002210691","0.28240066740715","0","2893.36271592285","-1431.05641985578","53"
"94","-3","-2e-04","-4","0.2","0.2","NaN","-2.86170118109196","-3.99300394396579","-0.193199460795182","0.593455807282141","0.279218969527535","0","3205.53485439353","-1587.14248909112","36"
"95","-1","-2e-04","-4","0.2","0.2","NaN","-1.77301766523127","-3.05793831104605","-8.65743679204543e-05","0.436190780322627","0.26435561522732","0","2902.35336348168","-1435.55174363519","40"
"96","-2.5","-0.00035","-3","0.2","0.2","NaN","-1.82573133579456","-3.34161724089353","-6.42598112121477e-05","0.439798529763199","0.277003135147806","0","2885.79465682931","-1427.27239030901","57"
"97","-1","1e-04","-3","0.2","0.2","NaN","-1.90515381999267","-3.51780541273293","-5.53551235683774e-05","0.435090382393815","0.280590425292147","0","2879.94981029013","-1424.34996703942","75"
"98","-3","-2e-04","-1","0.2","0.2","NaN","-1.74210313338878","-2.57625480709706","-0.000151027346096383","0.677674151292327","0.286194704731441","0","3057.31324955134","-1513.03168667002","111"
