"","a_log","a12","h12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"60","-2.5","-5e-05","-5e-04","-1","-1","-3","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","164267","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"61","-3","-0.00035","-0.00035","-5","-0.5","-0.5","0.005","0.001","0.001","5e-04","-5","0.2","0.2","995031","NaN","-3.75373558440895","0.201997449374263","-3.89076897135625","0.926346034524353","-1.48030623864406","-3.20123200638768","0.0018549449253508","0.0023915744569633","0.00266805712137442","-0.00186878360745201","-3.83840767705182","0.252162337045506","0.255705866253056","0","2058.57825587849","-988.466554986005"
"62","-2","1e-04","1e-04","-5","-1","-3","0.005","5e-04","0.001","0.001","-10","0.2","0.2","670123","NaN","-2.72139321595897","-0.026452215030479","-5.40718393658473","0.609419021695098","-1.88288603027904","-1.65365060962424","0.00195477267318274","0.00238884601097363","0.00246091947769384","0.00086907084975487","-10.2593684670786","0.246351713897553","0.241683321088936","0","1965.42600031088","-941.8904272022"
"63","-3","-5e-04","1e-04","-4","-2","-1","0.005","0.005","5e-04","0.001","-5","0.2","0.2","1110226","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"64","-3","-5e-05","-5e-04","-5","-1","-3","0.001","5e-04","5e-04","0.005","-10","0.2","0.2","765641","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"65","-1.5","-5e-05","-0.00035","-5","-1","-3","5e-04","0.001","5e-04","5e-04","-5","0.2","0.2","928794","NaN","1.3087942953764","-0.659885622137219","-11.9733828248406","0.681925865641655","-1.91580905149072","-1.66636152875333","0.00193271665977301","0.00238101796231697","0.0024681588995655","0.000852791375620591","-2.65048260910215","0.245888211141197","0.241045379854994","0","1962.16687930447","-940.260866698993"
"66","-2","1e-04","1e-04","-4","-2","-0.5","0.005","5e-04","5e-04","0.001","-10","0.2","0.2","622748","NaN","-1.02627265082431","0.462794021537906","-6.06832681511094","0.672732137778382","-1.92191389803222","-1.65983115815105","0.00195082086369824","0.00237878297877858","0.00246545382991307","0.000856260455641727","-8.00574157746549","0.245832430933293","0.241217369020139","0","1962.68701874212","-940.520936417821"
"67","-3","-2e-04","1e-04","-5","-2","-3","0.005","0.005","5e-04","0.005","-10","0.2","0.2","804486","NaN","-2.9663468704547","-0.000104414810993832","-4.86701899810198","0.00177239803565815","-1.75346739170133","-2.78916412145319","0.00219389622725767","0.00227930153904985","-0.0001732377162925","0.00077126412147923","-10.0422347351311","0.249619282256363","0.265307090902271","0","1960.49446004046","-939.424657066988"
"68","-1.5","-5e-05","-2e-04","-4","-1","-1","0.001","5e-04","5e-04","0.005","-5","0.2","0.2","1223319","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"69","-2","-0.00035","-2e-04","-5","-2","-0.5","0.001","5e-04","0.005","0.005","-10","0.2","0.2","870058","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"70","-2","-5e-04","-5e-05","-4","-2","-1","0.001","5e-04","0.005","0.005","-10","0.2","0.2","868328","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
