"","a_log","a12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"69","-1.5","-5e-04","-4","-2.375","-0.5","-1","0.005","0.001","0.001","0.005","-10","0.2","0.2","841404","NaN","-2.35720528787481","-0.000199171692869805","-3.70511090498027","-1.49522634100988","-1.07047613470817","-1.62369641034674","0.00110488656551598","0.00203591992813939","0.00283993321970738","0.00082863127813828","-8.24199265254465","0.211273288368923","0.24118791826902","0","1801.24097715712","-859.79791562532"
"70","-1","-5e-05","-3","-2.375","-0.5","-1","5e-04","5e-04","0.001","0.001","-10","0.2","0.2","661445","NaN","-2.0322479491981","-0.000278051907185674","-2.40162962626648","0.586098646231576","-1.08997041915519","-1.76533112878561","0.00143710868256688","0.00203337373688401","0.00252182207116198","0.000984597733724294","-8.50392350143612","0.216058639579674","0.2414775470992","0","1814.7380487339","-866.546451413709"
"71","-1","-0.00035","-4","-2.375","-0.5","-1","0.001","0.005","0.005","0.005","-10","0.2","0.2","903285","NaN","-2.58823341172459","-0.000153010402906869","-5.16679139176375","-1.52282076844487","-1.14591640521303","-1.63382906360267","0.000894795465406439","0.00208199952028928","0.0024710665630704","0.000892081332165716","-9.13099050319306","0.214140727806982","0.240705205071885","0","1815.19739420102","-866.77612414727"
"72","-2","-0.00035","-4","-1.125","-1","-0.5","0.005","0.001","5e-04","5e-04","-10","0.2","0.2","488533","NaN","-4.27879794901824","2.95416424784596e-05","-3.99843461741977","2.48096074488611","-3.38920223125043","-1.77018174250325","0.00631638149349777","-0.00260439904373803","0.00210952094455458","0.000697494399759388","-25.8828252827398","0.252853828163467","0.241281161631583","0","1992.98884779087","-955.671850942193"
"73","-2.5","-5e-05","-1","-3","-2","-0.5","0.001","0.005","0.001","0.005","-5","0.2","0.2","1308867","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"74","-2","-5e-05","-4","-1.75","-1","-1","0.001","0.001","5e-04","5e-04","-15","0.2","0.2","25293","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"75","-1.5","-5e-05","-3","-3","-0.5","-0.5","0.001","0.005","0.005","0.005","-10","0.2","0.2","905069","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"76","-1","-2e-04","-1","-1.75","-2","-3","0.005","5e-04","5e-04","0.001","-10","0.2","0.2","619115","NaN","-1.59917624100588","0.000729772413625241","-0.2878423091332","1.6229351392603","-2.61546982479386","-2.22454061248852","0.005554034622796","-0.000904659866337329","-0.000558522787321655","0.00229629879909302","-11.9046781230814","0.257064544895662","0.254966011373829","0","2072.43223216492","-995.393543129218"
"77","-3","-5e-05","-5","-1.75","-0.5","-0.5","0.005","5e-04","0.001","0.001","-15","0.2","0.2","219016","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"78","-2.5","-5e-04","-1","-1.125","-2","-3","5e-04","0.001","0.005","0.001","-5","0.2","0.2","1181727","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
