"","a_log","a12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"47","-2.5","-5e-04","-2","-1.125","-1","-1","5e-04","0.005","0.001","0.005","-10","0.2","0.2","846702","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"48","-3","-5e-04","-1","-1.125","-0.5","-0.5","0.001","5e-04","0.005","0.005","-10","0.2","0.2","871726","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"49","-2","-0.00035","-5","-2.375","-2","-3","0.005","0.001","0.005","0.005","-10","0.2","0.2","888883","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"50","-1","-0.00035","-3","-2.375","-2","-0.5","0.005","0.001","5e-04","5e-04","-15","0.2","0.2","32060","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"51","-2.5","-0.00035","-3","-2.375","-1","-3","0.005","0.001","5e-04","0.001","-10","0.2","0.2","636432","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"52","-2","-5e-05","-4","-3","-1","-0.5","5e-04","5e-04","0.001","0.005","-10","0.2","0.2","814418","NaN","-0.909770386289232","-0.000251176232700658","-4.4885613276703","-4.00868810450185","-0.064215345903252","-2.11166803016171","0.000509026165427583","0.00157480130190918","0.00655463175119558","-0.000273180130762171","-8.45841318715174","1.03718526031872","0.34451221549195","0","3508.070456596","-1713.41038922332"
"53","-2.5","-0.00035","-2","-0.5","-1","-0.5","0.005","5e-04","5e-04","5e-04","-15","0.2","0.2","16207","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"54","-3","-5e-04","-2","-1.75","-1","-0.5","0.001","0.005","0.005","0.001","-5","0.2","0.2","1208451","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"55","-2","-0.00035","-1","-1.75","-1","-0.5","0.005","0.001","0.001","5e-04","-15","0.2","0.2","83483","NaN","-1.56455546488841","-0.000479090244171903","-1.00480823775759","-1.74676203746428","-1.00807911990265","-0.496472784985192","0.00090805435916357","0.00313562013511698","0.00688821099040943","0.000278425637684406","-14.6869252165395","0.533146067780497","0.501955498044271","0","3652.92037976674","-1785.83535080868"
"56","-2.5","-5e-04","-3","-1.125","-1","-3","0.001","5e-04","0.001","0.005","-15","0.2","0.2","361052","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"57","-1","1e-04","-4","-1.125","-0.5","-0.5","0.005","0.005","5e-04","5e-04","-15","0.2","0.2","50425","NaN","4.96118545417605","-0.00813998501191871","-2.07860716969844","9.53096248243801","-7.92490282912412","-4.8608892895343","-0.00604954470782375","-0.0135025191078984","0.0445440123342213","-0.0109722061276302","-10.2072312311463","0.468406454111702","0.280516451166206","0","3010.83217043322","-1464.79124614192"
"58","-2","-5e-04","-1","-3","-1","-3","5e-04","5e-04","5e-04","0.005","-5","0.2","0.2","1215728","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"59","-2","1e-04","-4","-1.125","-2","-1","0.005","0.001","0.001","0.001","-5","0.2","0.2","1144173","NaN","-1.97497471905883","-4.83195720865977e-05","-3.54318564622498","-0.471556535403676","-2.17511523886104","-3.19453378384635","0.000592910663650965","0.00461176819463512","0.0108183081885778","-0.00114274366058894","-6.11742419120015","0.441081755982772","0.283986545549539","0","2966.64083321233","-1442.69557753148"
"60","-2","-5e-05","-2","-1.125","-2","-3","0.005","5e-04","0.005","5e-04","-10","0.2","0.2","568593","NaN","2.32453595875106","-0.0142557440941603","-2.76965485129903","6.71120008805713","-0.950162844629282","-5.51236992645348","0.000641704561682278","0.00279674695370691","0.134627748295009","-0.0216723025047955","-15.7788774798592","0.41836610523366","0.281688222135251","0","2895.98656865017","-1407.3684452504"
