"","a_log","h_log","h12","log_w","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","h_log.est","h12.est","log_w.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"33","-2","-1","-0.00035","-5","-0.5","-0.5","0.001","5e-04","5e-04","0.005","-5","0.2","0.2","1226173","NaN","-2.01411984327766","-0.97828801590124","-0.000774966428219992","-10.0008876618861","-0.503918021595491","-0.485895739308762","0.000625854846296145","0.00402173937124436","0.00476756056770594","0.00037433275726825","-4.99763517973877","0.490006041217163","0.901628318230288","0","4002.60163344417","-1960.6759776474"
"34","-2.5","-5","1e-04","-8.75","-2","-1","0.005","0.001","5e-04","5e-04","-15","0.2","0.2","30227","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"35","-2.5","-2","-5e-04","-7.5","-2","-3","0.005","0.001","0.001","0.001","-10","0.2","0.2","686517","NaN","15.5287793394785","-9.02381212531347","0.674223516833535","-3.41789427417319","-3.75215986080075","-5.38101519481066","0.00229210100488068","0.0351773719191303","0.0943102505887794","-0.0183504447562259","-25.6625411424379","0.523932004029131","0.279907017732699","0","3125.09574119167","-1521.92303152115"
"36","-2.5","-2","-0.00035","-5","-1","-0.5","0.005","0.005","5e-04","0.005","-10","0.2","0.2","809292","NaN","-2.48032420607186","-1.97253233872724","-0.000323283428025479","-10.0331268158547","-0.998463131945339","-0.523366810257119","0.000671682875831281","0.00493973752970813","0.00722111904284287","0.000304319978572093","-9.90664633380069","0.476373458516925","0.736447991583762","0","3726.98857971282","-1822.86945078172"
"37","-2","-3","-5e-04","-10","-2","-0.5","0.005","5e-04","0.005","0.001","-15","0.2","0.2","268138","NaN","-15.196274388896","12.3375936767879","10.7561724229306","-10.0395497047629","-4.19365671632857","-5.16373565644178","0.00333708566071323","0.0536852719009614","0.0752628916814609","-0.0147079394035083","-19.6593610320712","0.52587451547265","0.280089786906612","0","3129.03266089584","-1523.89149137324"
"38","-1.5","-3","1e-04","-5","-2","-1","0.005","0.001","0.001","0.005","-5","0.2","0.2","1296239","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"39","-2.5","-2","-0.00035","-10","-0.5","-3","5e-04","5e-04","0.005","0.005","-5","0.2","0.2","1317542","NaN","-2.49162296037577","-0.191001139622699","2.00078432947457","-9.98962728675147","-3.41441005604785","-3.11843513437813","0.00178292092924063","0.0263866892672803","0.0125963095835523","-0.00149002305590429","-3.70974353134373","0.524745569087984","0.282019657114427","0","3134.54248733265","-1526.64640459164"
"40","-2","-4","-5e-04","-10","-0.5","-0.5","5e-04","5e-04","0.001","0.005","-10","0.2","0.2","815008","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"41","-3","-5","-0.00035","-10","-0.5","-0.5","0.005","0.005","0.001","0.001","-15","0.2","0.2","252526","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"42","-1.5","-4","1e-04","-5","-2","-3","0.005","0.001","0.005","0.005","-10","0.2","0.2","889359","NaN","-1.74348603608019","-3.50266046659764","2.40277033958675","-10.1014488943172","-3.33708204939899","-5.08832960165709","0.00172666267447352","0.0243020665635137","0.0703193821310338","-0.0137222795945828","-23.9682687955065","0.52524920790342","0.280117847201338","0","3127.25460817447","-1523.00246501255"
"43","-1.5","-5","-0.00035","-6.25","-2","-1","0.001","0.005","0.001","5e-04","-10","0.2","0.2","547904","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
