"","a_log","a12","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"61","-2","1e-04","-5e-04","-4","-2.375","-1","-0.5","0.001","5e-04","0.005","0.001","-15","0.2","0.2","1316398","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"62","-1","-2e-04","1e-04","-5","-3","-2","-0.5","5e-04","5e-04","0.001","0.005","-15","0.2","0.2","1790740","NaN","-1.00550713292044","-0.00108584073292568","-4.98970407285652","0.0170475623736118","-2.99824387499986","-2.00197111795649","-0.50130018847696","0.00159438871727575","0.00598123433167327","0.00419343778432086","0.000450966207080774","-15.0034127103538","0.595868124496612","1.26835863687722","0","4292.61377042391","-2102.55705851614"
"63","-3","-5e-05","-0.00035","-3","-1.125","-1","-1","0.001","5e-04","0.005","5e-04","-10","0.2","0.2","2827166","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"64","-2.5","-5e-04","1e-04","-4","-1.75","-0.5","-1","5e-04","0.001","0.001","5e-04","-10","0.2","0.2","2632727","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"65","-2.5","-2e-04","-5e-04","-2","-3","-2","-1","0.001","5e-04","5e-04","0.001","-5","0.2","0.2","5353512","NaN","-1.78634294139408","-0.000364966103823679","-1.94544742469861","-0.000553482422385555","-3.56674440683291","-0.948083861921767","-2.06547272168572","0.000638591229769211","0.00385037688063656","0.00759118764973492","-0.000334826000338764","-4.97929388371961","0.458194492954523","0.280363574594313","0","3064.03574108715","-1488.26804384776"
"66","-1","-5e-04","1e-04","-4","-0.5","-1","-0.5","5e-04","0.005","5e-04","0.001","-5","0.2","0.2","5508980","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"67","-3","1e-04","1e-04","-1","-1.125","-1","-0.5","0.001","0.001","0.005","5e-04","-5","0.2","0.2","5199371","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"68","-1","-2e-04","-5e-05","-2","-0.5","-1","-0.5","0.001","0.001","0.005","0.001","-10","0.2","0.2","3681090","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"69","-2","1e-04","-5e-04","-4","-2.375","-0.5","-1","5e-04","0.001","0.001","5e-04","-10","0.2","0.2","2632023","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"70","-1","-0.00035","-0.00035","-3","-0.5","-1","-0.5","5e-04","0.005","5e-04","0.005","-5","0.2","0.2","6268410","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
